Sample,plot,Block,Year,site,row,split,treatment,unique,Seeding_Rate,Nitrogen,Weeds,Fungicide,nitrate,phosphorus,potassium,OM,Fusarium,Fus_cat,FusariumPresence,Cochliob,CochliobPresence,VisualRating,Percent_Damage
barcode01,P101,R1,2023,Post Farm,10,lSF,hShNnBnF,2,Low,Low,Brome,Fungicide,9,13,265,2,0,None,No Fusarium,0,No Cochliob,2,50
barcode02,P102,R1,2023,Post Farm,10,lSF,hShNBnF,4,Low,High,Brome,Fungicide,15,17,182,2,1,Low,Fusarium,0,No Cochliob,3,75
barcode03,P103,R1,2023,Post Farm,10,lSF,hSlNBnF,8,Low,High,No Brome,Fungicide,6,7,170,1.8,0,None,No Fusarium,0,No Cochliob,2.5,62.5
barcode04,P104,R1,2023,Post Farm,10,lSF,hSlNnBnF,6,Low,Low,No Brome,Fungicide,3,6,182,2.1,1,Low,Fusarium,0,No Cochliob,1,25
barcode05,P105,R1,2023,Post Farm,10,lSnF,hShNBnF,4,Low,Low,No Brome,No Fungicide,6,9,208,2.1,1,Low,Fusarium,0,No Cochliob,2.5,62.5
barcode06,P106,R1,2023,Post Farm,10,lSnF,lSlNnBnF,14,Low,Low,Brome,No Fungicide,6,5,162,1.6,3,Low,Fusarium,0,No Cochliob,2,50
barcode07,P107,R1,2023,Post Farm,10,lSnF,lShNnBnF,10,Low,High,Brome,No Fungicide,15,11,162,1.5,2,Low,Fusarium,0,No Cochliob,2.5,62.5
barcode08,P108,R1,2023,Post Farm,10,lSnF,lSlNBnF,16,Low,High,No Brome,No Fungicide,9,7,196,1.5,2,Low,Fusarium,0,No Cochliob,2.5,62.5
barcode09,P109,R1,2023,Post Farm,10,hFnF,hSlNBF,7,High,Low,Brome,No Fungicide,15,5,168,1.9,1,Low,Fusarium,0,No Cochliob,3,75
barcode10,P110,R1,2023,Post Farm,10,hFnF,hSlNnBF,5,High,Low,No Brome,No Fungicide,9,6,190,2,3,Low,Fusarium,0,No Cochliob,1.5,37.5
barcode11,P111,R1,2023,Post Farm,10,hFnF,hShNnBF,1,High,High,Brome,No Fungicide,9,5,177,1.5,2,Low,Fusarium,0,No Cochliob,2,50
barcode12,P112,R1,2023,Post Farm,10,hFnF,hShNBF,3,High,High,No Brome,No Fungicide,6,7,172,2,0,None,No Fusarium,0,No Cochliob,2.5,62.5
barcode13,P113,R1,2023,Post Farm,10,hSF,lSlNBF,15,High,Low,No Brome,Fungicide,9,7,190,1.6,1,Low,Fusarium,0,No Cochliob,1,25
barcode14,P114,R1,2023,Post Farm,10,hSF,lShNBF,11,High,High,Brome,Fungicide,12,4,173,1.3,0,None,No Fusarium,0,No Cochliob,1.5,37.5
barcode15,P115,R1,2023,Post Farm,10,hSF,lShNnBF,9,High,High,No Brome,Fungicide,12,8,242,1.6,1,Low,Fusarium,0,No Cochliob,1.5,37.5
barcode16,P116,R1,2023,Post Farm,10,hSF,lSlNnBF,13,High,Low,Brome,Fungicide,9,5,220,2.1,0,None,No Fusarium,0,No Cochliob,1.5,37.5
barcode17,P201,R2,2023,Post Farm,11,lSnF,lShNBF,11,Low,Low,Brome,No Fungicide,12,9,192,1.9,1,Low,Fusarium,0,No Cochliob,2.5,62.5
barcode18,P202,R2,2023,Post Farm,11,lSnF,lShNnBF,9,Low,High,No Brome,No Fungicide,12,30,172,1.8,4,High,Fusarium,0,No Cochliob,3,75
barcode19,P203,R2,2023,Post Farm,11,lSnF,lSlNnBF,13,Low,Low,Brome,No Fungicide,9,4,198,1.4,1,Low,Fusarium,0,No Cochliob,1.5,37.5
barcode20,P204,R2,2023,Post Farm,11,lSnF,lSlNBF,15,Low,High,No Brome,No Fungicide,9,5,190,1.5,0,None,No Fusarium,0,No Cochliob,2.5,62.5
barcode21,P205,R2,2023,Post Farm,11,hSnF,hShNBF,3,High,High,No Brome,No Fungicide,3,6,180,2,0,None,No Fusarium,0,No Cochliob,2,50
barcode22,P206,R2,2023,Post Farm,11,hSnF,hSlNnBF,5,High,Low,Brome,No Fungicide,3,6,192,1.9,0,None,No Fusarium,0,No Cochliob,2,50
barcode23,P207,R2,2023,Post Farm,11,hSnF,hShNnBF,1,High,High,Brome,No Fungicide,12,6,190,1.5,1,Low,Fusarium,0,No Cochliob,1.5,37.5
barcode24,P208,R2,2023,Post Farm,11,hSnF,hSlNBF,7,High,Low,No Brome,No Fungicide,3,7,218,3.3,0,None,No Fusarium,0,No Cochliob,2,50
barcode25,P209,R2,2023,Post Farm,11,lSF,lShNnBnF,10,Low,High,Brome,Fungicide,9,5,144,1.8,2,Low,Fusarium,0,No Cochliob,2.5,62.5
barcode26,P210,R2,2023,Post Farm,11,lSF,lSlNBnF,16,Low,High,No Brome,Fungicide,9,6,168,2.1,1,Low,Fusarium,0,No Cochliob,3,75
barcode27,P211,R2,2023,Post Farm,11,lSF,lShNBnF,12,Low,Low,No Brome,Fungicide,12,7,196,2,1,Low,Fusarium,0,No Cochliob,1,25
barcode28,P212,R2,2023,Post Farm,11,lSF,lSlNnBnF,14,Low,Low,Brome,Fungicide,9,6,176,2,0,None,No Fusarium,0,No Cochliob,1,25
barcode29,P213,R2,2023,Post Farm,11,hSF,hShNnBnF,2,High,Low,Brome,Fungicide,6,5,168,2,0,None,No Fusarium,0,No Cochliob,1.5,37.5
barcode30,P214,R2,2023,Post Farm,11,hSF,hSlNBnF,8,High,Low,No Brome,Fungicide,3,5,138,1.9,1,Low,Fusarium,0,No Cochliob,3,75
barcode31,P215,R2,2023,Post Farm,11,hSF,hShNBnF,4,High,High,No Brome,Fungicide,9,4,148,1.9,0,None,No Fusarium,0,No Cochliob,2,50
barcode32,P216,R2,2023,Post Farm,11,hSF,hSlNnBnF,6,High,High,Brome,Fungicide,6,6,192,2,0,None,No Fusarium,0,No Cochliob,2,50
barcode33,P301,R3,2023,Post Farm,12,hSnF,hShNBF,3,High,High,Brome,No Fungicide,12,6,190,1.4,4,High,Fusarium,0,No Cochliob,3,75
barcode34,P302,R3,2023,Post Farm,12,hSnF,hSlNBF,7,High,High,No Brome,No Fungicide,6,4,152,1.7,1,Low,Fusarium,0,No Cochliob,1.5,37.5
barcode35,P303,R3,2023,Post Farm,12,hSnF,hSlNnBF,5,High,Low,Brome,No Fungicide,3,4,198,1.9,1,Low,Fusarium,0,No Cochliob,1.5,37.5
barcode36,P304,R3,2023,Post Farm,12,hSnF,hShNnBF,1,High,Low,No Brome,No Fungicide,6,5,180,1.4,1,Low,Fusarium,0,No Cochliob,2.5,62.5
barcode37,P305,R3,2023,Post Farm,12,lSF,hShNnBnF,2,Low,High,Brome,Fungicide,6,6,192,1.6,0,None,No Fusarium,0,No Cochliob,3,75
barcode38,P306,R3,2023,Post Farm,12,lSF,hSlNBnF,8,Low,Low,No Brome,Fungicide,3,5,184,2,3,Low,Fusarium,0,No Cochliob,1,25
barcode39,P307,R3,2023,Post Farm,12,lSF,hShNBnF,4,Low,High,Brome,Fungicide,6,5,192,2.2,0,None,No Fusarium,0,No Cochliob,1,25
barcode40,P308,R3,2023,Post Farm,12,lSF,hSlNnBnF,6,Low,Low,No Brome,Fungicide,3,5,168,1.8,1,Low,Fusarium,0,No Cochliob,2,50
barcode41,P309,R3,2023,Post Farm,12,hSF,lSlNnBF,13,High,High,No Brome,Fungicide,6,5,186,1.5,2,Low,Fusarium,0,No Cochliob,1.5,37.5
barcode42,P310,R3,2023,Post Farm,12,hSF,lShNBF,11,High,Low,Brome,Fungicide,3,7,192,2.1,0,None,No Fusarium,0,No Cochliob,3,75
barcode43,P311,R3,2023,Post Farm,12,hSF,lShNnBF,9,High,High,Brome,Fungicide,15,6,192,2,0,None,No Fusarium,0,No Cochliob,3,75
barcode44,P312,R3,2023,Post Farm,12,hSF,lSlNBF,15,High,Low,No Brome,Fungicide,3,5,174,2,0,None,No Fusarium,0,No Cochliob,2.5,62.5
barcode45,P313,R3,2023,Post Farm,12,lSnF,lShNnBnF,10,Low,High,No Brome,No Fungicide,12,4,225,1.6,0,None,No Fusarium,0,No Cochliob,2.5,62.5
barcode46,P314,R3,2023,Post Farm,12,lSnF,lShNBnF,12,Low,Low,No Brome,No Fungicide,9,4,162,1.9,1,Low,Fusarium,0,No Cochliob,3,75
barcode47,P315,R3,2023,Post Farm,12,lSnF,lSlNnBnF,14,Low,High,Brome,No Fungicide,6,5,192,1.9,3,Low,Fusarium,0,No Cochliob,2.5,62.5
barcode48,P316,R3,2023,Post Farm,12,lSnF,lSlNBnF,16,Low,Low,Brome,No Fungicide,3,5,160,2,0,None,No Fusarium,0,No Cochliob,1,25
barcode49,P401,R4,2023,Post Farm,13,hSF,lShNnBF,9,High,High,Brome,Fungicide,9,6,223,2.1,0,None,No Fusarium,0,No Cochliob,2.5,62.5
barcode50,P402,R4,2023,Post Farm,13,hSF,lShNBF,11,High,High,No Brome,Fungicide,9,6,173,2.1,0,None,No Fusarium,0,No Cochliob,3.5,87.5
barcode51,P403,R4,2023,Post Farm,13,hSF,lSlNnBF,13,High,Low,No Brome,Fungicide,9,4,200,1.9,0,None,No Fusarium,0,No Cochliob,1.5,37.5
barcode52,P404,R4,2023,Post Farm,13,hSF,lSlNBF,15,High,Low,Brome,Fungicide,6,3,196,1.8,0,None,No Fusarium,0,No Cochliob,1,25
barcode53,P405,R4,2023,Post Farm,13,lSnF,hSlNnBF,5,Low,High,Brome,No Fungicide,6,5,165,1.9,0,None,No Fusarium,0,No Cochliob,2,50
barcode54,P406,R4,2023,Post Farm,13,lSnF,hShNBF,3,Low,Low,No Brome,No Fungicide,6,5,200,2.1,2,Low,Fusarium,0,No Cochliob,2,50
barcode55,P407,R4,2023,Post Farm,13,lSnF,hSlNBF,7,Low,Low,Brome,No Fungicide,3,7,208,2,0,None,No Fusarium,0,No Cochliob,2,50
barcode56,P408,R4,2023,Post Farm,13,lSnF,hShNnBF,1,Low,High,No Brome,No Fungicide,3,4,237,2.1,1,Low,Fusarium,0,No Cochliob,2,50
barcode57,P409,R4,2023,Post Farm,13,lSF,hShNnBnF,2,Low,High,Brome,Fungicide,6,6,192,1.7,1,Low,Fusarium,1,Cochliob,1.5,37.5
barcode58,P410,R4,2023,Post Farm,13,lSF,hSlNnBnF,6,Low,Low,Brome,Fungicide,6,6,203,2.2,0,None,No Fusarium,0,No Cochliob,1.5,37.5
barcode59,P411,R4,2023,Post Farm,13,lSF,hSlNBnF,8,Low,High,No Brome,Fungicide,9,7,200,1.7,2,Low,Fusarium,0,No Cochliob,1.5,37.5
barcode60,P412,R4,2023,Post Farm,13,lSF,hShNBnF,4,Low,Low,No Brome,Fungicide,9,6,168,1.9,0,None,No Fusarium,0,No Cochliob,1.5,37.5
barcode61,P413,R4,2023,Post Farm,13,hSnF,lSlNBnF,16,High,Low,No Brome,No Fungicide,9,6,182,1.9,0,None,No Fusarium,0,No Cochliob,1,25
barcode62,P414,R4,2023,Post Farm,13,hSnF,lSlNnBnF,14,High,High,Brome,No Fungicide,12,5,192,2,1,Low,Fusarium,0,No Cochliob,1.5,37.5
barcode63,P415,R4,2023,Post Farm,13,hSnF,lShNBnF,12,High,High,No Brome,No Fungicide,12,3,151,1.9,0,None,No Fusarium,0,No Cochliob,1,25
barcode64,P416,R4,2023,Post Farm,13,hSnF,lShNnBnF,10,High,Low,Brome,No Fungicide,3,5,164,2,2,Low,Fusarium,0,No Cochliob,2.5,62.5
barcode65,P501,R5,2023,Post Farm,14,lSF,hShNBnF,4,Low,Low,No Brome,Fungicide,27,8,217,1.7,0,None,No Fusarium,0,No Cochliob,1.5,37.5
barcode66,P502,R5,2023,Post Farm,14,lSF,hSlNnBnF,6,Low,High,Brome,Fungicide,6,5,178,1.9,3,Low,Fusarium,0,No Cochliob,1,25
barcode67,P503,R5,2023,Post Farm,14,lSF,hSlNBnF,8,Low,High,No Brome,Fungicide,12,4,190,1.7,2,Low,Fusarium,0,No Cochliob,2.5,62.5
barcode68,P504,R5,2023,Post Farm,14,lSF,hShNnBnF,2,Low,Low,Brome,Fungicide,12,5,173,1.8,1,Low,Fusarium,0,No Cochliob,2,50
barcode69,P505,R5,2023,Post Farm,14,hSF,lShNBnF,12,High,High,Brome,Fungicide,12,4,173,2,0,None,No Fusarium,0,No Cochliob,2,50
barcode70,P506,R5,2023,Post Farm,14,hSF,lShNnBnF,10,High,Low,Brome,Fungicide,9,3,198,2,4,High,Fusarium,0,No Cochliob,1.5,37.5
barcode71,P507,R5,2023,Post Farm,14,hSF,lSlNBnF,16,High,High,No Brome,Fungicide,15,4,178,1.5,2,Low,Fusarium,0,No Cochliob,3.5,87.5
barcode72,P508,R5,2023,Post Farm,14,hSF,lSlNnBnF,14,High,Low,No Brome,Fungicide,12,3,173,2,0,None,No Fusarium,0,No Cochliob,2.5,62.5
barcode73,P509,R5,2023,Post Farm,14,hSnF,lSlNnBF,13,High,High,Brome,No Fungicide,12,3,190,1.9,1,Low,Fusarium,0,No Cochliob,2,50
barcode74,P510,R5,2023,Post Farm,14,hSnF,lShNBF,11,High,Low,No Brome,No Fungicide,9,4,196,1.9,2,Low,Fusarium,0,No Cochliob,3.5,87.5
barcode75,P511,R5,2023,Post Farm,14,hSnF,lSlNBF,15,High,Low,Brome,No Fungicide,18,5,177,1.5,0,None,No Fusarium,0,No Cochliob,1.5,37.5
barcode76,P512,R5,2023,Post Farm,14,hSnF,lShNnBF,9,High,High,No Brome,No Fungicide,15,4,175,1.5,1,Low,Fusarium,0,No Cochliob,2.5,62.5
barcode77,P513,R5,2023,Post Farm,14,lSnF,hShNnBF,1,Low,High,Brome,No Fungicide,15,4,144,1.8,0,None,No Fusarium,0,No Cochliob,3,75
barcode78,P514,R5,2023,Post Farm,14,lSnF,hShNBF,3,Low,Low,Brome,No Fungicide,9,3,198,2.1,0,None,No Fusarium,1,Cochliob,3,75
barcode79,P515,R5,2023,Post Farm,14,lSnF,hSlNnBF,5,Low,High,No Brome,No Fungicide,6,4,186,1.9,0,None,No Fusarium,0,No Cochliob,2.5,62.5
barcode80,P516,R5,2023,Post Farm,14,lSnF,hSlNBF,7,Low,Low,No Brome,No Fungicide,6,4,190,1.9,4,High,Fusarium,0,No Cochliob,1.5,37.5